JobTitle,BasePay,Year
Registered Nurse,174044.89,2012
Registered Nurse,129121.08,2012
Registered Nurse,134022.0,2012
Registered Nurse,134022.0,2012
Registered Nurse,133533.6,2012
Registered Nurse,134022.0,2012
Registered Nurse,133850.12,2012
Registered Nurse,132417.6,2012
Registered Nurse,134022.0,2012
Registered Nurse,134129.45,2012
Registered Nurse,132722.8,2012
Registered Nurse,134022.0,2012
Registered Nurse,131927.95,2012
Registered Nurse,134022.0,2012
Registered Nurse,134022.0,2012
Registered Nurse,134005.52,2012
Registered Nurse,134022.01,2012
Registered Nurse,134022.01,2012
Registered Nurse,131536.31,2012
Registered Nurse,132544.54,2012
Registered Nurse,134022.0,2012
Registered Nurse,132452.69,2012
Registered Nurse,132986.55,2012
Registered Nurse,134022.0,2012
Registered Nurse,126120.0,2012
Registered Nurse,134022.0,2012
Registered Nurse,138239.6,2012
Registered Nurse,134006.74,2012
Registered Nurse,129463.84,2012
Registered Nurse,132722.81,2012
Registered Nurse,134022.0,2012
Registered Nurse,131133.02,2012
Registered Nurse,127127.89,2012
Registered Nurse,131571.57,2012
Registered Nurse,130802.46,2012
Registered Nurse,131954.81,2012
Registered Nurse,130062.0,2012
Registered Nurse,133006.1,2012
Registered Nurse,130506.49,2012
Registered Nurse,126120.0,2012
Registered Nurse,126427.77,2012
Registered Nurse,127058.08,2012
Registered Nurse,132478.6,2012
Registered Nurse,134022.0,2012
Registered Nurse,133468.09,2012
Registered Nurse,133507.96,2012
Registered Nurse,134541.56,2012
Registered Nurse,134022.0,2012
Registered Nurse,130915.65,2012
Registered Nurse,133463.98,2012
Registered Nurse,131443.15,2012
Registered Nurse,133533.6,2012
Registered Nurse,130467.0,2012
Registered Nurse,70097.77,2012
Registered Nurse,132051.24,2012
Registered Nurse,118967.52,2012
Registered Nurse,126120.0,2012
Registered Nurse,127906.97,2012
Registered Nurse,129550.1,2012
Registered Nurse,134022.0,2012
Registered Nurse,134022.0,2012
Registered Nurse,132742.36,2012
